date,plot1,plot3,plot 4,plot6,plot7,plot9,plot10,plot12,plot13,plot15,plot16,plot18
11/10/2014 0:00,6.6,6.2,NA,NA,NA,NA,5.82,4.891,NA,NA,NA,NA
11/10/2014 0:30,6.5,6.1,NA,NA,NA,NA,5.718,4.782,NA,NA,NA,NA
11/10/2014 1:00,6.5,6,NA,NA,NA,NA,5.639,4.692,NA,NA,NA,NA
11/10/2014 1:30,6.4,6,NA,NA,NA,NA,5.525,4.535,NA,NA,NA,NA
11/10/2014 2:00,6.3,5.9,NA,NA,NA,NA,5.448,4.478,NA,NA,NA,NA
11/10/2014 2:30,6.2,5.8,NA,NA,NA,NA,5.388,4.438,NA,NA,NA,NA
11/10/2014 3:00,6.2,5.8,NA,NA,NA,NA,5.328,4.389,NA,NA,NA,NA
11/10/2014 3:30,6.1,5.8,NA,NA,NA,NA,5.29,4.379,NA,NA,NA,NA
11/10/2014 4:00,6.1,5.7,NA,NA,NA,NA,5.239,4.348,NA,NA,NA,NA
11/10/2014 4:30,6.1,5.7,NA,NA,NA,NA,5.206,4.33,NA,NA,NA,NA
11/10/2014 5:00,6,5.7,NA,NA,NA,NA,5.175,4.319,NA,NA,NA,NA
11/10/2014 5:30,6,5.7,NA,NA,NA,NA,5.146,4.301,NA,NA,NA,NA
11/10/2014 6:00,6,5.6,NA,NA,NA,NA,5.115,4.292,NA,NA,NA,NA
11/10/2014 6:30,6,5.6,NA,NA,NA,NA,5.099,4.288,NA,NA,NA,NA
11/10/2014 7:00,5.9,5.6,NA,NA,NA,NA,5.069,4.275,NA,NA,NA,NA
11/10/2014 7:30,5.9,5.6,NA,NA,NA,NA,5.073,4.299,NA,NA,NA,NA
11/10/2014 8:00,5.9,5.6,NA,NA,NA,NA,5.069,4.338,NA,NA,NA,NA
11/10/2014 8:30,5.9,5.6,NA,NA,NA,NA,5.07,4.385,NA,NA,NA,NA
11/10/2014 9:00,5.9,5.6,NA,NA,NA,NA,5.088,4.477,NA,NA,NA,NA
11/10/2014 9:30,6,5.7,NA,NA,NA,NA,5.132,4.615,NA,NA,NA,NA
11/10/2014 10:00,6,5.8,NA,NA,NA,NA,5.202,4.808,NA,NA,NA,NA
11/10/2014 10:30,6.1,5.9,NA,NA,NA,NA,5.317,5.077,NA,NA,NA,NA
11/10/2014 11:00,6.3,6.1,NA,NA,NA,NA,5.477,5.46,NA,NA,NA,NA
11/10/2014 11:30,6.5,6.3,NA,NA,NA,NA,5.684,5.915,NA,NA,NA,NA
11/10/2014 12:00,6.7,6.7,NA,NA,NA,NA,5.971,6.512,NA,NA,NA,NA
11/10/2014 12:30,7,7.1,NA,NA,NA,NA,6.321,7.208,NA,NA,NA,NA
11/10/2014 13:00,7.5,7.7,NA,NA,NA,NA,6.901,8.323,NA,NA,NA,NA
11/10/2014 13:30,8,8.4,NA,NA,NA,NA,7.478,9.22,NA,NA,NA,NA
11/10/2014 14:00,8.5,8.9,NA,NA,NA,NA,7.8,9.51,NA,NA,NA,NA
11/10/2014 14:30,8.7,9.1,NA,NA,NA,NA,7.964,9.57,NA,NA,NA,NA
11/10/2014 15:00,8.9,9.3,NA,NA,NA,NA,8.171,9.78,NA,NA,NA,NA
11/10/2014 15:30,9.1,9.5,NA,NA,NA,NA,8.275,9.77,NA,NA,NA,NA
11/10/2014 16:00,9.2,9.5,NA,NA,NA,NA,8.413,9.85,NA,NA,NA,NA
11/10/2014 16:30,9.3,9.6,NA,NA,NA,NA,8.572,9.97,NA,NA,NA,NA
11/10/2014 17:00,9.5,9.6,NA,NA,NA,NA,8.64,9.56,NA,NA,NA,NA
11/10/2014 17:30,9.4,9.4,NA,NA,NA,NA,8.587,9.06,NA,NA,NA,NA
11/10/2014 18:00,9.2,9.1,NA,NA,NA,NA,8.456,8.515,NA,NA,NA,NA
11/10/2014 18:30,9,8.6,NA,NA,NA,NA,8.235,7.937,NA,NA,NA,NA
11/10/2014 19:00,8.6,8.2,NA,NA,NA,NA,7.997,7.515,NA,NA,NA,NA
11/10/2014 19:30,8.3,8,NA,NA,NA,NA,7.793,7.24,NA,NA,NA,NA
11/10/2014 20:00,8.2,7.8,NA,NA,NA,NA,7.719,7.227,NA,NA,NA,NA
11/10/2014 20:30,8.1,7.9,NA,NA,NA,NA,7.695,7.38,NA,NA,NA,NA
11/10/2014 21:00,8.1,7.9,NA,NA,NA,NA,7.717,7.478,NA,NA,NA,NA
11/10/2014 21:30,8.2,7.9,NA,NA,NA,NA,7.84,7.457,NA,NA,NA,NA
11/10/2014 22:00,8.2,7.9,NA,NA,NA,NA,7.795,7.276,NA,NA,NA,NA
